id;type;luggage_number;flight_number;booking_number;passenger_id;weight_category;rfid_tag
1;CABIN_BAG_10KG;18145;Data;41772;connect Borders disintermediate;51977;cross-platform deploy
2;CABIN_BAG_10KG;46998;24/365 Implementation channels;37039;orange Norwegian Krone HTTP;40742;program cyan Money Market Account
3;CABIN_BAG_10KG;26253;British Indian Ocean Territory (Chagos Archipelago) bluetooth;95710;Coordinator;35125;Buckinghamshire
4;CABIN_BAG_10KG;96335;ROI Concrete Ergonomic;59022;technologies data-warehouse deposit;10748;panel
5;CARRY_ON;59406;tan;23394;Infrastructure Qatar overriding;96080;Berkshire Soft
6;CARGO_BAG_30KG;72137;protocol;4447;Crossroad Robust plum;88841;Principal well-modulated
7;CABIN_BAG_10KG;56670;Ball;22829;Stream Christmas Island bleeding-edge;50865;Chicken Assurance Bulgarian Lev
8;CARRY_ON;6681;Designer Integration;61505;Senior sticky e-business;77279;Gloves
9;CABIN_BAG_10KG;42190;Alabama;23556;Oklahoma Lakes;86891;wireless
10;CABIN_BAG_10KG;10146;program;77700;empowering Facilitator Buckinghamshire;81133;generating wireless mobile
