id;flight_number;flight_type;fare_type;pilot;price;departure_date;origin_id;destination_id;airline_id;plane_id
1;Courts;ONE_WAY;BUSINESS;Fish;20742;2020-09-13;1;1;1;1
2;Regional Computer;RETURN_TRIP;ECONOMY;Gorgeous Soft Ball programming Zambian Kwacha;4636;2020-09-13;2;2;2;2
3;Buckinghamshire Libyan Dinar maximize;ONE_WAY;ECONOMY;Somali Shilling Lakes;844;2020-09-13;3;3;3;3
4;Designer quantify Communications;RETURN_TRIP;BUSINESS;communities green Rustic Steel Bike;2367;2020-09-13;4;4;4;4
5;architectures;ONE_WAY;ECONOMY;Customer-focused Triple-buffered intermediate;79678;2020-09-13;5;5;5;5
6;Balanced Grocery International;ONE_WAY;BUSINESS;reintermediate infomediaries Money Market Account;67185;2020-09-13;6;6;6;6
7;Avon Open-architected deposit;ONE_WAY;ECONOMY;neural;60993;2020-09-13;7;7;7;7
8;Credit Card Account orchid;ONE_WAY;BUSINESS;driver Fresh;46518;2020-09-13;8;8;8;8
9;Cape Verde Escudo;RETURN_TRIP;ECONOMY;Handmade;46699;2020-09-13;9;9;9;9
10;Awesome Soft Chicken;RETURN_TRIP;ECONOMY;Ball Division bus;8218;2020-09-13;10;10;10;10
